Von,IBNR,Nach,IBNR,Tarifkilometer,Wegetext
Aachen Hbf,1,Mühldorf(Oberbay),258,789,AC*(R/S)*M
Aachen Hbf,1,Mülheim(Ruhr)Hbf,259,118,AC*(MG/K)*DU
Aachen Hbf,1,München Hbf,261,708,AC*(R/S)*M
Aachen Hbf,1,München Ost,262,714,AC*(R/S)*M
Aachen Hbf,1,München-Pasing,4158,708,AC*(R/S)*MPAS
Aachen Hbf,1,Münster(Westf)Hbf,263,209,AC*MS
Aachen Hbf,1,Narsdorf,10238,692,AC*(H/EF)*L
Aachen Hbf,1,Nauen,10239,660,AC*H*MD*B*NAU
Aachen Hbf,1,Naumburg(Saale)Hbf,10240,601,AC*DO*KS*EF*NMB
Aachen Hbf,1,Neckargemünd,265,363,AC*K*(MZ/F)*HD
Aachen Hbf,1,Neubrandenburg,10241,768,AC*DU*(HB/MD)*GUE
Aachen Hbf,1,Neuenmarkt-Wirsberg,267,610,AC*K*WUE*(SW/N)*NMW
Aachen Hbf,1,Neukieritzsch,10243,669,AC*(H/EF)*L
Aachen Hbf,1,Neukirchen(b Sulzb),269,583,AC*K*F*N
Aachen Hbf,1,Neumark(Sachs),10244,730,AC*H*(SDL/NDH)*L*WDA
Aachen Hbf,1,Neumünster,271,589,AC*(OS/H)*HH*NMS
Aachen Hbf,1,Neunkirchen(Saar)Hbf,272,351,AC*K*KO*KH
Aachen Hbf,1,Neuruppin West,10246,723,AC*DU*MD*WBE
Aachen Hbf,1,Neuss Hbf,274,80,AC*RY*MG
Aachen Hbf,1,Neustadt(Dosse),10248,681,AC*DU*MD*WBE
Aachen Hbf,1,Neustadt(Weinstr)Hbf,275,340,AC*K*(LM*MZ/KL)*NW
Aachen Hbf,1,Neustrelitz Hbf,10250,768,AC*DU*(HL/H*SN)*NZ
Aachen Hbf,1,Neuwied,276,147,AC*DN*HORR*K
Aachen Hbf,1,Nidda,277,279,AC*(SI/KO)*GI
Aachen Hbf,1,Nidderau,158,293,AC*(SI/KO)*GI
Aachen Hbf,1,Niederlahnstein,278,170,AC*K*KO
Aachen Hbf,1,Nienburg(Weser),279,362,AC*(OS/K)*MI
Aachen Hbf,1,Norden,800,419,AC*(OB/DO)*LER
Aachen Hbf,1,Nordhausen,10256,534,AC*DO*H*NDH
Aachen Hbf,1,Nordstemmen,282,400,AC*(OS/K)*H
Aachen Hbf,1,Northeim(Han),283,388,AC*ALT
Aachen Hbf,1,Nürnberg Hbf,284,537,AC*K*F*N
Aachen Hbf,1,Oberhausen Hbf,286,116,AC*(MG/K)*DU*OB
Aachen Hbf,1,Oebisfelde,10261,462,AC*(OS/K)*H
Aachen Hbf,1,Offenburg,290,463,AC*K*KA*OG
Aachen Hbf,1,Oldenburg(Holst),4669,631,AC*(HB/H)*OLD
Aachen Hbf,1,Oldenburg(Oldb)Hbf,291,436,AC*(DU/HA)*HB
Aachen Hbf,1,Osnabrück Hbf,294,269,AC*(DU/K)*OS
Aachen Hbf,1,Osterburken,295,436,AC*K*(MZ/F)*HD
Aachen Hbf,1,Paderborn Hbf,297,273,AC*PB
Aachen Hbf,1,Pasewalk,10268,820,AC*DU*(HL/H*SN)*PW
Aachen Hbf,1,Passau Hbf,298,757,AC*K*N*PA
Aachen Hbf,1,Pforzheim Hbf,299,422,AC*(F/KA)*PF
Aachen Hbf,1,Pirna,10272,779,AC*(H/EF)*DD
Aachen Hbf,1,Plattling,301,704,AC*K*N*PLAT
Aachen Hbf,1,Plaue(Thür),10274,570,AC*DO*KS*EF
Aachen Hbf,1,Plochingen,302,490,AC*K*S*PLO
Aachen Hbf,1,Potsdam Hbf,12666,634,AC*H*MD*P
Aachen Hbf,1,Potsdam Pirschheide,10279,641,AC*H*MD*P
Aachen Hbf,1,Prenzlau,10282,782,AC*DU*H*MD*B
Aachen Hbf,1,Priemerburg,10284,684,AC*DU*(HB/MD)*GUE
Aachen Hbf,1,Probstzella,10288,631,AC*K*F*(EF/N)*PRO
Aachen Hbf,1,Puttgarden,4903,678,AC*(HB/H)*PUTT
Aachen Hbf,1,Rastatt,306,414,AC*K*(F/MZ)*KA
Aachen Hbf,1,Recklinghausen Hbf,307,152,AC*(K/MG*KR*DU)*GE*(WAN/HER)*RE
Aachen Hbf,1,Regensburg Hbf,309,638,AC*K*N*R
Aachen Hbf,1,Remagen,310,126,AC*K*BN
Aachen Hbf,1,Rendsburg,312,625,AC*(OS/H)*HH*NMS
Aachen Hbf,1,Renningen,313,495,AC*(F/KA)*S
Aachen Hbf,1,Reutlingen Hbf,314,524,AC*K*S*PLO
Aachen Hbf,1,Rheda-Wiedenbrück,315,236,AC*(DU/K)*HAM
Aachen Hbf,1,Rheine,316,248,AC*RHEI
Aachen Hbf,1,Rheinhausen,317,101,AC*MG*(VIE/NE)*KR
Aachen Hbf,1,Rheydt Hbf,318,59,AC*RY
Aachen Hbf,1,Riedstadt-Goddelau,126,289,AC*K*MZ
Aachen Hbf,1,Riesa,10297,708,AC*(SDL/EF)*RIE
Aachen Hbf,1,Röblingen am See,10299,631,AC*(H/EF)*HAL
Aachen Hbf,1,Rödermark-Ob.Roden,285,322,AC*K*(LM/KO)*F
Aachen Hbf,1,Rohrbach(Saar),319,413,AC*(LM*MZ/KO*SB)*HOM
Aachen Hbf,1,Ronneburg(Thür),10301,726,AC*H*(MD/JS)*G
Aachen Hbf,1,Rosenheim,320,770,AC*(R/S)*RO
Aachen Hbf,1,Roßlau(Elbe),10302,573,AC*H*MD*RSL
Aachen Hbf,1,Rostock Hbf,10304,697,AC*DU*(HB/MD)*HRO
Aachen Hbf,1,Rotenburg(Wümme),321,434,AC*(DU/HA)*HB
Aachen Hbf,1,Rottenbach,10305,673,AC*K*WUE*SLF
Aachen Hbf,1,Rottweil,322,573,AC*(F/KA)*HOR
Aachen Hbf,1,Rudolstadt(Thür),10306,622,AC*DO*KS*EF*JS
Aachen Hbf,1,Ruhland,10308,760,AC*(H/EF)*ELW
Aachen Hbf,1,Saalfeld(Saale),10309,656,AC*K*WUE*SLF
Aachen Hbf,1,Saarbrücken Hbf,323,366,AC*K*(LM*MZ/TR)*SB
