Region,ASTe,NASTe
92,"Lauda, Steinach(b Rothenb), Würzburg Hbf","Gaubüttelbrunn, Gerlachsheim, Geroldshausen, Gnötzheim, Goßmannsdorf, Grünsfeld, Kirchheim(Unterfr), Marktbreit, Obernbreit, Ochsenfurt,
Reichenberg(Unterfr), Uffenheim, Winterhausen, Wittighausen, Würzburg-Heidin.Ost, Würzburg Süd, Zimmern(Main-Tauber)"
93,"Landshut(Bay)Hbf, Mühldorf(Oberbay), Passau
Hbf","Aich(Niederbay), Anzenkirchen, Bad Birnbach, Bad Höhenstadt, Bayerbach, Eggenfelden, Eggenfelden Mitte, Egglkofen, Engertsham, Fürstenzell,
Geisenhausen, Götzdorf(Niederbay), Hebertsfelden, Karpfham, Landshut(Bay)Süd, Luderbach, Massing, Neukirchen(Inn), Neumarkt-St Veit, Neustift(b
Passau), Pfarrkirchen, Pocking, Postmünster, Rohrbach(Oberbay), Ruhstorf, Sulzbach(Inn), Taibrechting, Vilsbiburg"
94,"Güsen(b Genthin), Güterglück, Magdeburg Hbf,
Magdeburg-Rothensee","Biederitz, Burg(Magdeburg), Gerwisch, Gommern, Königsborn, Lübs(Magdeburg), Magdeburg-Eichenw, Magdeburg Herrenkrug, Magdeburg-Neustadt,
Möser, Prödel, Wahlitz"
95,Passau Hbf,"Hauzenberg, Kellberg"
96,Passau Hbf,"Breitenberg, Obernzell, Untergriesbach, Wegscheid(Niederbay)"
97,"Bielefeld Hbf, Herford",Brake(b Bielefeld)
98,"Darmstadt Hbf, Frankfurt(M)Flugh.,
Frankfurt(Main)Hbf, Groß Gerau, Hanau Hbf,
Mainz-Bischofsheim, Riedstadt-Goddelau,
Rödermark-Ob.Roden","Darmstadt-Arheilgen, Darmstadt-Wixhausen, Dietzenbach Bahnhof, Dietzenbach Mitte, Dietzenbach-Steinbg., Dreieich-Buchschlag, Dreieich-Dreieichenh,
Dreieich-Götzenhain, Dreieich-Offenthal, Dreieich-Sprendling., Dreieich-Weibelfeld, Egelsbach, Erzhausen, Frankfurt(M)Hauptw., Frankfurt(M)Konst.,
Frankfurt(M)Lokalbf., Frankfurt(M)Mühlbg., Frankfurt(M)Ostend., Frankfurt(M)Stadion, Frankfurt(M)Stresem., Frankfurt(M)Tsanlage,
Frankfurt(Main)Ost, Frankfurt(Main)Süd, Frankfurt-Gateway G., Frankfurt-Louisa, Frankfurt-Mainkur, Frankfurt-Niederrad, Groß Gerau-Dornberg, Groß
Gerau-Dornheim, Hanau West, Hanau-Wilhelmsbad, Heusenstamm, Kelsterbach, Klein Gerau, Langen(Hess), Langen-Flugsicherung, Maintal Ost, Maintal
West, Mörfelden, Mühlheim(M)-Dietesh, Mühlheim(Main), Neu-Isenburg, Obertshausen(Kr Of), Offenbach(M)Kaiserl, Offenbach(M)Ledermu,
Offenbach(M)Marktpl, Offenbach(Main)Hbf, Offenbach(Main)Ost, Offenbach-Bieber, Offenbach-Waldhof, Raunheim, Riedstadt-Wolfskehl, Rödermark-
Urberach, Rodgau-Dudenhofen, Rodgau-Hainhausen, Rodgau-Jügesheim, Rodgau-Nieder Roden, Rodgau-Rollwald, Rodgau-Weiskirchen, Rüsselsh. Opelwerk,
Rüsselsheim, Steinheim(Main), Walldorf(Hess), Weiterstadt, Zeppelinheim"
99,"Herford, Lage(Lippe)","Bad Salzuflen, Bad Salzuflen-Sylb., Schötmar"
100,"Bretten, Bruchsal, Karlsruhe Hbf, Pforzheim Hbf","Berghausen(Baden), Berghausen Hummelb., Bilfingen, Bruchsal Bildungsz, Dürrenbüchig, Ersingen, Ersingen West, Grötzingen, Ispringen, Ispringen West,
Jöhlingen, Karlsruhe-Durlach, Kleinsteinbach, Königsbach(Baden), Söllingen(b Karlsr), Untergrombach, Weingarten(Baden), Wilferdingen-Singen, Wössingen"
101,"Ansbach, Steinach(b Rothenb)","Burgbernheim-Wildbad, Lehrberg, Oberdachstetten, Rosenbach(Bay)"
102,"Coesfeld(Westf), Rheine, Steinfurt-Burgstein.","Ahaus, Epe(Westf), Gronau(Westf), Gronau(Westf)Gr, Legden, Metelen Land, Ochtrup, Rosendahl-Holtwick"
103,"Coesfeld(Westf), Dülmen",Lette(Kr Coesfeld)
