Region,ASTe,NASTe
481,"Borsdorf(Sachs), Leipzig Hbf, Markkleeberg-
Großst, Narsdorf, Neukieritzsch","Bad Lausick, Belgershain, Borna(Leipzig), Frohburg, Geithain, Großpösna, Hopfgarten(Sachs), Lauterbach-Steinbach, Leipzig Ang-Crottdf, Leipzig Bayer Bf,
Leipzig-Connewitz, Leipzig-Engelsdorf, Leipzig-Holzhausen, Leipzig-Liebertwolkw, Leipzig Markt, Leipzig MDR, Leipzig-Mölkau, Leipzig-Paunsdorf, Leipzig-
Sellerhausen, Leipzig-Stötteritz, Leipzig Völkersch., Leipzig Werkstätten, Leipzig W-Leuschn-Pl, Lobstädt, Markkleeberg, Markkleeberg Nord, Neukirchen-
Wyhra, Oberholz, Otterwisch, Petergrube, Tautenhain"
482,"Neumark(Sachs), Werdau, Zwickau(Sachs)Hbf","Lichtentanne(Sachs), Steinpleis"
483,"Plaue(Thür), Zella-Mehlis","Dörrberg, Gehlberg, Gräfenroda"
484,"Erfurt Hbf, Gotha, Plaue(Thür), Rottenbach","Arnstadt Hbf, Arnstadt Süd, Erfurt-Bischleben, Haarhausen, Marlishausen, Neudietendorf, Niederwillingen, Paulinzella, Seebergen, Singen(Thür), Stadtilm,
Sülzenbrücken, Wandersleben"
485,"Aulendorf, Friedrichshafen St., Herbertingen,
Sigmaringen, Singen(Hohentwiel)","Allensbach, Altshausen, Bad Saulgau, Bermatingen-Ahausen, Birnau-Maurach, Böhringen-Rickelsh., Burgweiler, Friedrichshafen-Fiba, Friedrichshafen-Kluf,
Friedrichshafen LRA, Friedrichshafen-Manz, Haselbrunn, Hegne, Herbertingen Ort, Hoßk. Königseggsee, Konstanz, Konstanz-Fürstenb., Konstanz-Petersh.,
Konstanz-Wollmat, Ludwigshafen(Bodens), Markdorf(Baden), Markelfingen, Meßkirch, Mühlhofen Ort, Nenzingen, Ostrach, Pfullendorf, Radolfzell,
Reichenau(Baden), Salem, Singen Industriegeb., Sipplingen, Stahringen, Stockach, Überlingen, Überlingen-Nußdorf, Überlingen Therme, Uhldingen-
Mühlhofen, Wahlwies"
486,Zwickau(Sachs)Hbf,"Zwickau Stadthalle, Zwickau Zentrum"
487,"Ludwigshafen(Rh)Hbf, Mannheim Hbf","Ludwigshafen Mitte, Pfalzbau"
488,"Elmshorn, Hamburg Hbf, Hamburg-Sternschanze","Halstenbek, Hamburg-Altona, Hamburg-Bahrenfeld, Hamburg-Blankenese, Hamburg Diebsteich, Hamburg-Eidelstedt, Hamburg Elbgaustr., Hamburg
Hochkamp, Hamburg Holstenstr., Hamburg-Iserbrook, Hamburg Jungfernst., Hamburg Klein Flottb, Hamburg Königstr., Hamburg Landungsbr., Hamburg-
Langenfelde, Hamburg-Othmarschen, Hamburg-Ottensen, Hamburg Reeperbahn, Hamburg-Rissen, Hamburg Stadthausbr., Hamburg-Stellingen, Hamburg-
Sülldorf, Krupunder, Pinneberg, Prisdorf, Thesdorf, Tornesch, Wedel(Holst)"
489,"Berlin Gesundbrunnen, Berlin Hbf, Berlin-
Spandau, Berlin Westkreuz","Berlin Beusselstr., Berlin Jungfernheide, Berlin MesseNord/ICC, Berlin-Wedding, Berlin Westend, Berlin Westhafen"
490,"Berlin Hbf, Berlin Westkreuz","Berlin Bellevue, Berlin-Charlottenbg., Berlin Savignyplatz, Berlin-Tiergarten, Berlin Zoolg. Garten"
491,Bamberg,"Drosendorf, Giech, Gundelsheim(b Bamb), Memmelsdorf(Oberfr), Scheßlitz"
493,"Elmshorn, Heide(Holst)","Burg(Dithm), Glückstadt, Herzhorn, Itzehoe, Krempe, Kremperheide, Meldorf, St Michaelisdonn, Wilster"
494,"Elmshorn, Neumünster","Brokstedt, Dauenhof, Horst(Holst), Wrist"
495,"Bad Oldesloe, Neumünster","Altengörs, Bad Segeberg, Fahrenkrug, Fresenburg, Neumünster Süd, Rickling, Wahlstedt, Wakendorf"
496,"Bad Oldesloe, Lübeck Hbf","Lübeck-Moisling, Reinfeld(Holst)"
497,"Kiel Hbf, Neumünster","Bordesholm, Einfeld, Flintbek"
500,"Heide(Holst), Neumünster","Albersdorf, Aukrug, Beldorf, Beringstedt, Gokels, Hademarschen, Hohenwestedt, Neumünster Stadtw, Nordhastedt, Osterstedt, Wasbek"
504,"Landau(Pfalz)Hbf, Neustadt(Weinstr)Hbf","Edenkoben, Edesheim(Pfalz), Knöringen-Essingen, Maikammer-Kirrweiler, Neustadt(Wstr) Süd"
524,"Calw, Pforzheim Hbf","Bad Liebenzell, Bad Wildbad Bf, Bad Wildbad Kurpark, Bad Wildbad Nord, Bad Wildbad Uhlandpl, Birkenfeld(Enz), Brötzingen Mitte, Calmbach Bahnhof,
Hirsau, Höfen(Enz) Bf, Monbach-Neuhausen, Neuenbürg(Enz), Neuenbürg(Enz) Süd, Pforzheim Durl. Str., Pforzheim Maihälden, Pforzheim-Weißenst.,
Unterreichenbach"
540,Ludwigsburg,"Markgröningen, Möglingen(b Ludwig)"
541,"Bietigheim-Bissingen, Ludwigsburg","Asperg, Tamm(Württ)"
543,"Backnang, Schwäb.Hall-Hessent","Fichtenberg, Fornsbach, Gaildorf West, Murrhardt, Oppenweiler(Württ), Sulzbach(Murr)"
547,"Reutlingen Hbf, Tübingen Hbf","Kirchentellinsfurt, Reutlingen-Betzingen, Reutlingen West, Tübingen-Lustnau, Wannweil"
549,"Göppingen, Plochingen","Ebersbach(Fils), Faurndau, Reichenbach(Fils), Uhingen"
553,"Schwäbisch Gmünd, Waiblingen","Beutelsbach, Endersbach, Geradstetten, Grunbach, Lorch(Württ), Plüderhausen, Rommelshausen, Schorndorf, Stetten-Beinstein, Urbach(b Schorndorf),
Waldhausen(b Schorn), Weiler(Rems), Winterbach(b Schorn)"
554,"Backnang, Waiblingen","Maubach, Nellmersbach, Neustadt-Hohenacker, Schwaikheim, Winnenden"
569,"Neukirchen(b Sulzb), Weiden(Oberpf)","Etzenricht, Freihung, Röthenbach(Oberpf), Thansüß, Vilseck, Weiherhammer"
579,Straubing,St Englmar
606,"Schaffhausen, Singen(Hohentwiel)","Bietingen, Gottmadingen, Herblingen, Thayngen"
609,Friedrichshafen St.,Friedrichshafen Haf.
650,"Geltendorf, München-Pasing","Buchenau(Oberbay), Eichenau(Oberbay), Fürstenfeldbruck, Grafrath, München-Aubing, München Leienfels., Puchheim, Schöngeising, Türkenfeld"
667,"Husum, Westerland(Sylt)","Bredstedt, Keitum, Klanxbüll, Langenhorn(Schlesw), Morsum, Niebüll, Süderlügum, Toender(Gr), Uphusum"
674,"Lollar, Marburg(Lahn)","Friedelhausen, Fronhausen(Lahn), Marburg Süd, Niederwalgern, Niederweimar"
679,"Bamberg, Erlangen","Baiersdorf, Bubenreuth, Buttenheim, Ebermannstadt, Eggolsheim, Forchheim(Oberfr), Gosberg, Hirschaid, Kersbach, Kirchehrenbach, Pinzberg, Pretzfeld,
Strullendorf, Wiesenthau"
680,Erlangen,"Herzogenaurach, Niederndorf"
681,"Baden-Baden, Kehl, Offenburg","Achern, Achern Stadt, Appenweier, Baden-Baden Rebland, Bad Griesbach(Schw), Bad Peterstal, Bühl(Baden), Furschenbach, Hubacker, Ibach, Kappelrodeck,
Kork, Lautenbach(Baden), Legelshurst, Löcherberg, Oberachern, Oberachern Bindfaden, Oberkirch, Oberkirch-Köhlersdl, Oppenau, Ottenhöfen, Ottenhöfen
West, Ramsbach Birkhof, Ramsbach Höfle, Renchen, Sinzheim, Sinzheim Nord, Zusenhofen"
689,Leer(Ostfriesl),"Weener, Weener(Gr)"
690,"Duisburg Hbf, Düsseldorf Hbf, Essen Hbf","Angermund, Duisburg-Buchholz, Duisburg-Großenbaum, Duisburg-Rahm, Duisburg-Schlenk, Düsseldorf-Derend., Düsseldorf Flugh., Düsseldorf Flugh.T.,
Düsseldorf-Rath, Düsseldorf-Rath Mit, Düsseldorf-Unterr., Düsseldorf Wehrhahn, Düsseldorf-Zoo, Essen-Hügel, Essen Stadtwald, Essen Süd, Essen-Werden,
Hösel, Kettwig, Kettwig Stausee, Ratingen Ost"
691,"Bochum Hbf, Dortmund Hbf, Herne, Unna","Bochum-Langendreer, Bochum-Langendreer W, Castrop-Rauxel Hbf, Dortmund-Asseln Mitt, Dortmund-Brackel, Dortmund-Dorstfeld, Dortmund-Dorstfeld S,
Dortmund-Germania, Dortmund-Huckarde, Dortmund-Kley, Dortmund Knappschaft, Dortmund-Körne, Dortmund-Körne West, Dortmund-Lütgendort,
Dortmund-Marten Süd, Dortmund-Mengede, Dortmund Möllerbr., Dortmund-Nette/Oest, Dortmund-Oespel, Dortmund-Somborn, Dortmund Stadthaus,
Dortmund-Uni., Dortmund West, Dortmund-Westerfilde, Dortmund-Wickede, Dortmund-Wickede W, Dortmund-Wischlingen, Massen, Unna-Königsborn, Unna
West"
693,"Düsseldorf Hbf, Krefeld Hbf, Neuss Hbf,
Rheinhausen","Düsseldorf-Bilk, Düsseldorf Friedrst, Düsseldorf-Hamm, Düsseldorf Völk St, Krefeld-Hoh.Chempark, Krefeld-Linn, Krefeld-Oppum, Krefeld-Uerdingen,
Meerbusch-Osterath, Neuss Am Kaiser, Neuss Rheinpark Cent"
694,"Kaldenkirchen, Krefeld Hbf, Mönchengladbach
Hbf","Anrath, Boisheim, Breyell, Dülken, Forsthaus, Viersen"
698,"Gießen, Herborn(Dillkr), Weilburg","Albshausen, Aßlar, Dutenhofen(Wetzlar), Edingen(Wetzlar), Ehringshausen(Wetzl), Katzenfurt, Leun/Braunfels, Löhnberg, Sinn, Solms, Stockhausen(Lahn),
Werdorf, Wetzlar"
901,"Bebra, Gerstungen","Ronshausen, Wildeck-Bosserode, Wildeck-Hönebach, Wildeck-Obersuhl"
904,"Gutenfürst, Hof Hbf",Feilitzsch
1002,"Bad Kleinen, Herrnburg","Bobitz, Grevesmühlen, Grieben(Meckl), Lüdersdorf(Meckl), Plüschow, Schönberg(Meckl)"
1003,"Pasewalk, Stralsund Hbf","Anklam, Ducherow, Eggesin, Ferdinandshof, Greifswald, Greifswald Süd, Groß Kiesow, Jatznick, Jeeser, Klein Bünzow, Miltzow, Sandförde, Torgelow,
Ueckermünde, Ueckermünde Stadthf, Wüstenfelde, Züssow"
1004,Forst(Lausitz),Forst(Gr)
1005,"Berlin Friedrichstr, Berlin Ostkreuz","Berlin Alexanderpl., Berlin Hackescher M., Berlin Jannowitzbr., Berlin Ostbahnhof, Berlin Warschauer St"
1006,"Aschersleben, Sandersleben(Anh)","Drohndorf-Mehringen, Freckleben"
1007,"Calbe(Saale) Ost, Köthen","Sachsendorf(Calbe), Wulfen(Anh)"
1008,"Bitterfeld, Dessau Hbf","Dessau Süd, Greppin, Jeßnitz(Anh), Marke, Raguhn, Wolfen(Bitterfeld)"
1011,Halle-Neustadt,Halle-Nietleben
1012,"Leipzig-Leutzsch, Markkleeberg-Großst, Zeitz","Leipzig Allee-Center, Leipzig Grünauer A, Leipzig Karlsr Str, Leipzig-Knauthain, Leipzig-Lindenau, Leipzig Milt. Allee, Leipzig-Plagwitz, Pegau, Profen,
Zwenkau-Großdalzig"
1013,"Berlin-Karlshorst, Berlin Ostkreuz","Berlin Bbf Rummelsbg, Berlin-Rummelsburg"
1014,"Neubrandenburg, Neustrelitz Hbf","Blankensee(Meckl), Burg Stargard(Meckl), Cammin(Meckl)"
1016,"Dessau Hbf, Köthen","Dessau-Alten, Dessau-Mosigkau, Elsnigk(Anh), Osternienburg"
1017,"Markkleeberg-Großst, Neukieritzsch","Böhlen(Leipzig), Böhlen Werke, Großdeuben, Markkleeberg-Gaschwi"
1019,"Aschersleben, Güsten","Giersleben, Schierstedt"
1020,"Halberstadt, Vienenburg","Darlingerode, Heudeber-Danstedt, Ilsenburg, Stapelburg, Wernigerode Elmowerk, Wernigerode Hbf"
1025,"Magdeburg-Rothensee, Oebisfelde","Barleben, Bösdorf(Sachs-Anh), Flechtingen, Groß Ammensleben, Haldensleben, Meitzendorf, Rätzlingen, Vahldorf, Wegenstedt"
1027,"Halle(Saale)Hbf, Köthen","Arensdorf(Köthen), Niemberg, Stumsdorf, Weißandt-Gölzau, Zöberitz"
1028,"Bitterfeld, Halle(Saale)Hbf","Brehna, Hohenthurm, Landsberg(Halle), Roitzsch(Bitterf)"
1029,"Delitzsch, Halle(Saale)Hbf","Klitschmar, Kyhna, Landsberg(b Halle)S, Peißen, Reußen"
1030,"Oebisfelde, Stendal Hbf","Gardelegen, Jävenitz, Mieste, Miesterhorst, Möringen(Altm), Solpke, Uchtspringe, Vinzelberg"
1031,"Berlin-Spandau, Hennigsdorf(b Bln), Nauen,
Potsdam Hbf, Potsdam Pirschheide,
Werder(Havel), Wustermark","Albrechtshof, Brieselang, Falkensee, Finkenkrug, Golm, Marquardt, Potsdam Charlottenh, Potsdam Park Sanss., Priort, Seegefeld"
1032,"Berlin-Spandau, Wustermark","Berlin-Staaken, Dallgow-Döberitz, Elstal"
1033,"Holthusen, Schwerin Hbf","Schwerin-Görries, Schwerin Mitte, Schwerin Süd"
1034,"Berlin Gesundbrunnen, Berlin-Karlshorst, Berlin
Ostkreuz, Eberswalde Hbf, Frankfurt(Oder),
Fürstenwalde(Spree), Hennigsdorf(b Bln),
Löwenberg(Mark), Wriezen","Ahrensfelde, Ahrensfelde Friedhof, Ahrensfelde Nord, Alt Rosenthal, Basdorf, Bergfelde(b Berlin), Berlin Alt-Reinick., Berlin-Biesdorf, Berlin-Blankenburg,
Berlin Bornholm.Str, Berlin-Buch, Berlin Eichborndamm, Berlin Frankfurter A, Berlin-Friedrfel.Ost, Berlin-Friedrichshg., Berlin-Frohnau, Berlin Gehrenseestr.,
Berlin Greifswald.St, Berlin-Heiligensee, Berlin-Hermsdorf, Berlin-Hirschgarten, Berlin-Hohenschönh., Berlin-Karow, Berlin-Kaulsdorf, Berlin K-B.-N.klinik,
Berlin-Köpenick, Berlin Landsberger A, Berlin-Lichtenberg, Berlin-Mahlsdorf, Berlin-Marzahn, Berlin Mehrow.Allee, Berlin Nöldnerplatz, Berlin-Pankow,
Berlin-Pankow-Hein., Berlin Poelchaustr., Berlin Prenzlauer Al, Berlin-Rahnsdorf, Berlin R-Wallenbg-St, Berlin Schönh.Allee, Berlin-Schönholz, Berlin-
Schulzendorf, Berlin Springpfuhl, Berlin Storkower Str, Berlin-Tegel, Berlin-Waidmannslust, Berlin-Wartenberg, Berlin-Wilhelmshagen, Berlin-Wilhelmsruh,
Berlin-Witten.(WhrD), Berlin Wollankstr, Berlin Wuhletal, Berlin-Wuhlheide, Bernau(b Berlin), Bernau-Friedenstal, Biesenthal, Birkenstein, Birkenwerder(b
Bln), Blumberg(b Berlin), Blumberg-Rehhahn, Borgsdorf, Erkner, Fangschleuse, Fredersdorf(b Bln), Golzow(Oderbruch), Gorgast, Groß Schönebeck,
Grüneberg, Hangelsberg, Herrensee, Hohen Neuendorf(Bln), Hohen Neuendorf West, Hoppegarten(Mark), Klandorf, Klosterfelde, Kostrzyn(Gr), Küstrin-
Kietz, Lehnitz, Letschin, Lottschesee, Melchow, Mühlenbeck-M.mühle, Müncheberg(Mark), Nassenheide, Neuenhagen(b Berlin), Neutrebbin, Obersdorf,
Oranienburg, Petershagen Nord, Rehfelde, Röntgental, Rüdnitz, Ruhlsdorf-Zerpenschl, Sachsenhausen(Nordb), Schmachtenhagen, Schönerlinde, Schönfließ,
Schönwalde(Barnim), Seefeld(Mark), Seelow(Mark), Seelow-Gusow, Strausberg, Strausberg-Hegerm., Strausberg Nord, Strausberg Stadt, Trebnitz(Mark),
Wandlitz, Wandlitzsee, Wensickendorf, Werbig, Werneuchen, Zepernick(Bernau), Zühlsdorf"
1037,"Altenburg, Neukieritzsch","Deutzen, Regis-Breitingen, Treben-Lehma"
1038,"Naumburg(Saale)Hbf, Weißenfels",Leißling
1041,"Halle-Ammendorf, Merseburg Hbf",Schkopau
1042,"Halle(Saale)Hbf, Halle-Ammendorf, Halle-
Neustadt, Röblingen am See","Amsdorf, Angersdorf, Halle Rosengarten, Halle-Silberhöhe, Halle Südstadt, Halle Zscherbener S, Teutschenthal, Teutschenthal Ost, Wansleben am See,
Zscherben"
1043,"Leipzig-Leutzsch, Merseburg Hbf, Weißenfels","Bad Dürrenberg, Großkorbetha, Großlehna, Kötzschau, Leipzig-Miltitz, Leipzig-Rückmarsdf., Leuna Werke Nord, Leuna Werke Süd, Markranstädt"
1044,"Bischofswerda, Löbau(Sachs)","Bautzen, Breitendorf, Demitz-Thumitz, Kubschütz, Pommritz, Seitschen"
1049,Hockeroda,"Bad Lobenstein, Blankenstein(Saale), Harra, Harra Nord, Leutenberg, Lichtentanne(Thür), Unterlemnitz, Wurzbach(Thür)"
1052,Rottenbach,"Bechstedt-Trippstein, Katzhütte, Mellenbach-Glasbach, Meuselbach-Schwarzm, Obstfelderschmiede, Schwarzburg, Sitzendorf-Unterw"
1054,"Frose, Halberstadt","Ditfurt, Gatersleben, Hedersleben-Wedderst, Nachterstedt-Hoym, Neinstedt, Quedlinburg, Thale Hbf, Thale Musestieg, Wegeleben"
1061,Naumburg(Saale)Hbf,"Balgstädt, Freyburg(Unstrut), Karsdorf, Kirchscheidungen, Kleinjena, Laucha(Unstrut), Naumburg-Roßbach, Nebra, Reinsdorf(bei Nebra), Wangen(Unstrut)"
1064,"Sandersleben(Anh), Sangerhausen","Hettstedt, Klostermansfeld"
1065,"Frankfurt(Oder), Fürstenwalde(Spree), Königs
Wusterhausen","Bad Saarow, Bad Saarow Klinikum, Bad Saarow-Pieskow, Beeskow, Buckow(Beeskow), Frankfurt(Oder)-Neub, Friedersdorf(KW), Fürstenwalde Süd, Görzig,
Groß Rietz, Grunow(Nl), Helenesee, Hubertushöhe, Kablow, Kummersdorf(Storkow), Lindenberg(Mark), Mixdorf, Müllrose, Niederlehme, Oegeln,
Pfaffendorf(Mark), Schneeberg(Mark), Storkow(Mark), Wendisch-Rietz, Zernsdorf"
1066,"Bretleben, Sömmerda","Etzleben, Griefstedt, Heldrungen, Leubingen"
1067,"Bretleben, Sangerhausen","Artern, Oberröblingen, Reinsdorf(Artern), Voigtstedt"
1070,"Königs Wusterhausen, Lübben(Spreewald)","Bestensee, Brand Trop. Islands, Groß Köris, Halbe, Lubolz, Oderin, Schönwalde(Spreew), Zeesen"
1071,Merseburg Hbf,"Beuna(Geiseltal), Braunsbedra, Braunsbedra Ost, Frankleben, Krumpa, Langeneichstädt, Merseburg Bergmannsr, Mücheln(Geiselt) St, Mücheln(Geiseltal),
Nemsdorf-Göhrendorf, Querfurt"
1072,"Röblingen am See, Sangerhausen","Blankenheim(Sangerh), Erdeborn, Lutherstadt Eisleben, Riestedt, Wolferode"
1074,Halberstadt,"Blankenburg(Harz), Börnecke(Harz), Halberstadt Oststr, Halberstadt-Spiegels, Langenstein"
1075,"Neuruppin West, Wittenberge","Dossow(Prign), Fretzdorf, Groß Pankow, Heiligengrabe, Liebenthal(Prign), Netzeband, Perleberg, Pritzwalk, Rossow(Fretzdorf), Walsleben, Weisen,
Wittstock(Dosse)"
1079,"Gera Hbf, Zeitz","Bad Köstritz, Crossen a d Elster, Crossen Ort, Gera-Langenberg, Wetterzeube"
1080,"Calbe(Saale) Ost, Schönebeck(Elbe)","Gnadau, Schönebeck-Felgel"
1081,"Nordhausen, Sangerhausen","Bennungen, Berga-Kelbra, Görsbach, Heringen(Helme), Roßla, Wallhausen(Helme)"
1084,"Calbe(Saale) Ost, Calbe(Saale) West",Calbe(Saale) Stadt
1085,"Eisenach, Wernshausen","Bad Salzungen, Breitungen(Werra), Ettenhausen, Förtha(Eisenach), Immelborn, Marksuhl, Oberrohn"
1087,Plaue(Thür),"Elgersburg, Geraberg, Ilmenau, Ilmenau Bad, Ilmenau Pörl. Höhe, Ilmenau-Roda, Manebach, Martinroda, Rennsteig, Stützerbach"
1088,"Bad Langensalza, Leinefelde","Ammern, Birkungen, Dachrieden, Großengottern, Mühlhausen(Thür), Schönstedt, Seebach(Mühlhausen), Silberhausen"
1089,"Eilenburg, Falkenberg(Elster)","Beilrode, Doberschütz, Eilenburg Ost, Mockrehna, Rehfeld(Falkenberg), Torgau"
1090,"Bitterfeld, Luth. Wittenberg Hbf","Bergwitz, Burgkemnitz, Gräfenhainichen, Muldenstein, Pratau, Radis"
1091,Stralsund Hbf,"Altefähr, Bergen auf Rügen, Lancken, Lietzow(Rügen), Mukran West, Ostseebad Binz, Prora, Prora Ost, Rambin(Rügen), Sagard, Samtens, Sassnitz,
Sassnitz(Gr), Sassnitz Fährhafen, Stralsund Rügendamm, Teschenhagen"
1093,"Berlin-Spandau, Berlin Westkreuz","Berlin Heerstraße, Berlin MesseS(Eichk), Berlin Olympiastad., Berlin-Pichelsberg, Berlin-Stresow"
1095,"Berlin-Wannsee, Potsdam Hbf","Potsdam-Babelsberg, Potsdam Griebnitzsee"
1096,"Bad Schandau, Pirna","Amtshainersdorf, Dürrröhrsdorf, Goßdorf-Kohlmühle, Helmsdorf(Pirna), Krumhermsdorf, Langenwolmsdorf, Langenwolmsdorf M, Lohmen, Mittelndorf,
Neustadt(Sachs), Pirna-Copitz, Pirna-Copitz Nord, Porschdorf(Pirna), Rathmannsdorf(Pirna), Sebnitz(Gr), Sebnitz(Sachs), Stolpen, Ulbersdorf"
1099,"Berlin Friedrichstr, Berlin Gesundbrunnen","Berlin Humboldthain, Berlin Nordbahnhof, Berlin Oranienb.Str."
1100,"Eilsleben(Magdeb), Magdeburg Hbf","Dreileben-Drackenst, Magdeburg-Sudenburg, Niederndodeleben, Ochtmersleben, Ovelgünne, Wellen(Magdeburg)"
1101,"Eilsleben(Magdeb), Helmstedt","Marienborn, Wefensleben"
1105,"Güsten, Schönebeck(Elbe)","Eggersdorf, Eickendorf, Förderstedt, Neundorf(Anh), Schönebeck-Bad Salz, Schönebeck Süd, Staßfurt"
1111,"Jüterbog, Luth. Wittenberg Hbf, Michendorf,
Potsdam Pirschheide, Roßlau(Elbe)","Altes Lager, Bad Belzig, Baitz, Beelitz-Heilstätten, Beelitz Stadt, Borkheide, Brück(Mark), Buchholz(Zauche), Caputh-Geltow, Caputh Schwielowsee,
Coswig(Anh), Elsholz, Ferch-Lienewitz, Griebo, Jeber-Bergfrieden, Klieken, Luth. Wittenberg Alt, Luth. Wittenberg-Pie, Medewitz(Mark), Meinsdorf, Seddin,
Treuenbrietzen, Treuenbrietzen Süd, Wiesenburg(Mark)"
1113,"Dresden Hbf, Pirna","Bärenhecke-Johnsb, Bärenstein(Sachs), Burkhardswalde-Maxen, Dohna(Sachs), Dresden-Dobritz, Dresden-Niedersedl, Dresden-Reick, Dresden-Strehlen,
Dresden-Zschachwitz, Geising, Glashütte(Sachs), Hartmannmühle, Heidenau, Heidenau-Großsedl, Heidenau Süd, Köttewitz, Kurort Altenb.(Erzg),
Lauenstein(Sachs), Mühlbach(Pirna), Niederschlottwitz, Oberschlottwitz, Weesenstein"
1115,"Arnsdorf(Dresden), Bischofswerda","Großharthau, Weickersdorf(Sachs)"
1116,Flöha,"Blumenau, Falkenau(Sachs)Hp, Floßmühle, Grünhainichen-Borst, Hetzdorf(Flöhatal), Hohenfichte, Lengefeld-Rauenstein, Leubsdorf(Sachs), Nennigmühle,
Olbernhau, Olbernhau-Grünthal, Olbernhau West, Pockau-Lengefeld, Reifland-Wünschend"
1118,"Berlin Ostkreuz, Berlin Südkreuz, Berlin-
Wannsee, Königs Wusterhausen, Ludwigsfelde,
Michendorf, Potsdam Pirschheide, Schönefeld (b.
Bln.), Zossen","Berlin-Adlershof, Berlin-Altglienicke, Berlin Attilastraße, Berlin Baumschulenw, Berlin Buckower Ch., Berlin-Grünau, Berlin Grünbg.allee, Berlin Hermannstr.,
Berlin-Johannisthal, Berlin Kölln.Heide, Berlin-Lankwitz, Berlin-Lichtenrade, Berlin-Lichterf.Ost, Berlin-Lichterf.Süd, Berlin-Marienfelde, Berlin-Neukölln,
Berlin-Oberspree, Berlin Osdorfer Str., Berlin Plänterwald, Berlin Priesterweg, Berlin Schichauweg, Berlin-Schöneweide, Berlin Sonnenallee, Berlin-
Spindlersfeld, Berlin Südende, Berlin-Tempelhof, Berlin Treptower Pk, Birkengrund, Blankenf(Teltow-Fl), Dabendorf, Dahlewitz, Eichwalde, Flughafen BER,
Großbeeren, Ludwigsfelde-Struves, Mahlow, Potsdam Medienst Bab, Potsdam-Rehbrücke, Rangsdorf, Saarmund, Teltow, Teltow Stadt, Waßmannsdorf,
Wildau, Wilhelmshorst, Zeuthen"
1119,"Güterglück, Roßlau(Elbe)","Rodleben, Zerbst/Anhalt"
1121,"Fürstenberg(Havel), Löwenberg(Mark)","Dannenwalde(Gransee), Gransee"
1122,"Britz, Prenzlau, Tantow(Gr)","Angermünde, Casekow, Chorin, Passow(Uckermark), Petershagen(Uckerm), Pinnow(Uckermark), Schönow(Uckermark), Schwedt(Oder),
Schwedt(Oder)Mitte, Seehausen(Uckermark), Tantow, Warnitz(Uckermark), Wilmersdorf(Angerm)"
1123,"Brandenburg Hbf, Stendal Hbf, Wustermark","Brandenburg Altstadt, Buschow, Döberitz, Fohrde, Görden, Großwudicke, Hämerten, Mögelin, Nennhausen, Premnitz Nord, Premnitz Zentrum, Pritzerbe,
Rathenow, Schönhausen(Elbe)"
1132,"Geestgottberg, Stendal Hbf","Eichstedt(Altm), Goldbeck(Osterburg), Osterburg, Seehausen(Altm), Stendal Hochschule, Stendal-Stadtsee"
1133,"Borsdorf(Sachs), Riesa","Altenbach, Bennewitz, Dahlen(Sachs), Gerichshain, Kühren, Machern(Sachs), Oschatz, Wurzen"
1137,"Elsterwerda, Riesa","Gröditz(Riesa), Prösen, Prösen West, Tiefenau, Wülknitz, Zeithain"
1150,"Delitzsch, Eilenburg","Hohenroda, Kämmereiforst, Krensitz"
1152,"Bitterfeld, Delitzsch",Petersroda
1156,"Jüterbog, Luth. Wittenberg Hbf","Blönsdorf, Bülzig, Niedergörsdorf, Zahna, Zörnigall"
1157,"Falkenberg(Elster), Jüterbog","Herzberg(Elster), Holzdorf(Elster), Linda(Elster), Oehna, Zellendorf"
1158,"Doberlug-Kirchhain, Falkenberg(Elster)","Beutersitz, Schönborn(Doberl), Uebigau"
1159,"Doberlug-Kirchhain, Elsterwerda","Hohenleipisch, Rückersdorf"
1160,"Falkenberg(Elster), Luth. Wittenberg Hbf","Annaburg, Elster(Elbe), Fermerswalde, Jessen(Elster), Luth. Wittenberg-Lab, Mühlanger"
1173,"Jüterbog, Ludwigsfelde","Luckenwalde, Thyrow, Trebbin, Woltersdorf/Nu.-U"
1179,"Magdeburg-Rothensee, Stendal Hbf","Angern-Rogätz, Barleber See, Demker, Mahlwinkel, Tangerhütte, Wolmirstedt, Zielitz, Zielitz Ort"
1180,Stendal Hbf,"Bindfelde, Miltern, Stendal Vorbf, Tangermünde, Tangermünde West"
1184,"Brandenburg Hbf, Werder(Havel)","Götz, Groß Kreutz"
1204,"Neubrandenburg, Stralsund Hbf","Altentreptow, Demmin, Elmenhorst, Gnevkow, Grimmen, Rakow, Sternfeld, Utzedel, Wittenhagen, Zarrendorf"
1206,"Neubrandenburg, Pasewalk","Blumenhagen, Neetzka, Oertzenhof, Sponholz, Strasburg(Uckerm)"
1211,Rostock Hbf,"Rostock-Bramow, Rostock-Evershagen, Rostock Holbeinplatz, Rostock-Lichtenhagen, Rostock-Lütten Kl., Rostock-Marienehe, Rostock Parkstraße,
Warnemünde, Warnemünde Werft"
1212,"Bad Kleinen, Rostock Hbf","Althof, Bad Doberan, Dorf Mecklenburg, Groß Schwaß, Hagebök, Hornstorf, Kalsow, Kröpelin, Moidentin, Neubukow, Parkentin, Reddelich, Rostock Thierf.Str.
, Sandhagen(b Bad Dob), Steinhausen-Neuburg, Teschow, Wismar"
